"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"libcoin","libcoin","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0-4",NA,"R (>= 3.4.0)","stats, mvtnorm","mvtnorm","coin",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"linprog","linprog","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.9-2",NA,"R (>= 2.4.0), lpSolve",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"3.5.3"
"lme4","lme4","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1-21",NA,"R (>= 3.2.0), Matrix (>= 1.2-1), methods, stats","graphics, grid, splines, utils, parallel, MASS, lattice, boot,
nlme (>= 3.1-123), minqa (>= 1.1.15), nloptr (>= 1.0.4)","Rcpp (>= 0.10.5), RcppEigen","knitr, rmarkdown, PKPDmodels, MEMSS, testthat (>= 0.8.1),
ggplot2, mlmRev, optimx (>= 2013.8.6), gamm4, pbkrtest, HSAUR2,
numDeriv, car, dfoptim",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"lmtest","lmtest","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.9-37",NA,"R (>= 3.0.0), stats, zoo","graphics",NA,"car, strucchange, sandwich, dynlm, stats4, survival, AER",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"locfit","locfit","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.5-9.1",NA,"R (>= 2.0.1)","lattice",NA,"akima, gam",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"lpSolve","lpSolve","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","5.6.13.1",NA,NA,NA,NA,NA,NA,"LGPL-2",NA,NA,NA,NA,"yes","3.5.3"
"lsei","lsei","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2-0",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.2"
"lubridate","lubridate","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.7.4",NA,"methods, R (>= 3.0.0)","stringr, Rcpp (>= 0.12.13),","Rcpp,","testthat, knitr, covr","chron, fts, timeSeries, timeDate, tis, tseries, xts, zoo","GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"lwgeom","lwgeom","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1-7",NA,"R (>= 3.3.0)","Rcpp, units, sf (>= 0.6-0)","Rcpp, sf (>= 0.6-0)","covr, sp, geosphere, testthat",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"magic","magic","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.5-9",NA,"R (>= 2.10), abind",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.2"
"magick","magick","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.2",NA,NA,"Rcpp (>= 0.12.12), magrittr, curl","Rcpp","av (>= 0.3), spelling, jsonlite, methods, knitr, rmarkdown,
rsvg, webp, pdftools, ggplot2, raster, rgdal, gapminder,
IRdisplay, tesseract (>= 2.0), gifski",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"magrittr","magrittr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.5",NA,NA,NA,NA,"testthat, knitr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"manipulateWidget","manipulateWidget","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.10.0",NA,NA,"shiny (>= 1.0.3), miniUI, htmltools, htmlwidgets, knitr,
methods, tools, base64enc, grDevices, codetools, webshot",NA,"dygraphs, leaflet, plotly, xts, rmarkdown, testthat, covr",NA,"GPL (>= 2) | file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"mapproj","mapproj","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2.6",NA,"R (>= 3.0.0), maps (>= 2.3-0)","stats, graphics",NA,NA,NA,"Lucent Public License",NA,NA,NA,NA,"yes","3.5.3"
"maps","maps","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3.3.0",NA,"R (>= 3.0.0)","graphics, utils",NA,"mapproj (>= 1.2-0), mapdata (>= 2.3.0), sp, maptools,
rnaturalearth",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"maptools","maptools","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.9-5",NA,"R (>= 2.10), sp (>= 1.0-11)","foreign (>= 0.8), methods, grid, lattice, stats, utils,
grDevices",NA,"rgeos (>= 0.1-8), spatstat (>= 1.50), PBSmapping, maps,
RColorBrewer, raster, polyclip, spatstat.utils","gpclib, RArcInfo","GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"mapview","mapview","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.7.0",NA,"methods, R (>= 2.10)","base64enc, brew, htmltools, htmlwidgets, lattice, leafem,
leaflet (>= 2.0.0), leafpop, png, raster, Rcpp (>= 0.11.3),
satellite, scales (>= 0.2.5), sf, sp, svglite, uuid,
viridisLite, webshot","Rcpp","covr, dplyr, knitr, lwgeom, plainview, rmarkdown, stars,
testthat",NA,"GPL (>= 3) | file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"markdown","markdown","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0",NA,"R (>= 2.11.1)","utils, mime (>= 0.3)",NA,"knitr, RCurl",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"MASS","MASS","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","7.3-51.4","recommended","R (>= 3.1.0), grDevices, graphics, stats, utils","methods",NA,"lattice, nlme, nnet, survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"Matrix","Matrix","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2-17","recommended","R (>= 3.2.0)","methods, graphics, grid, stats, utils, lattice",NA,"expm, MASS","MatrixModels, graph, SparseM, sfsmisc","GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","3.5.3"
"MatrixModels","MatrixModels","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4-1",NA,"R (>= 3.0.1)","stats, methods, Matrix (>= 1.1-5)",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"matrixStats","matrixStats","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.54.0",NA,"R (>= 2.12.0)",NA,NA,"base64enc, ggplot2, knitr, microbenchmark, R.devices, R.rsp",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","3.5.3"
"mc2d","mc2d","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1-18",NA,"R (>= 2.10.0), mvtnorm","stats, grDevices, graphics, utils",NA,"fitdistrplus, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"mclust","mclust","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","5.4.5",NA,"R (>= 3.0)","stats, utils, graphics, grDevices",NA,"knitr (>= 1.12), rmarkdown (>= 0.9), mix (>= 1.0), geometry
(>= 0.3-6), MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"mda","mda","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4-10",NA,"R (>= 1.9.0), stats, class",NA,NA,"earth",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"memoise","memoise","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1.0",NA,NA,"digest (>= 0.6.3)",NA,"testthat, aws.s3, httr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"mgcv","mgcv","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.8-28","recommended","R (>= 2.14.0), nlme (>= 3.1-64)","methods, stats, graphics, Matrix, splines, utils",NA,"parallel, survival, MASS",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"mice","mice","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3.6.0",NA,"methods, R (>= 2.10.0), lattice","broom, dplyr, grDevices, graphics, MASS, mitml, nnet,
parallel, Rcpp, rlang, rpart, splines, stats, survival, utils","Rcpp","AGD, CALIBERrfimpute, gamlss, lme4, mitools, nlme, pan,
randomForest, Zelig, BSDA, knitr, rmarkdown, testthat, HSAUR3,
micemd, miceadds, tidyr",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"microbenchmark","microbenchmark","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4-6",NA,NA,"graphics, stats",NA,"ggplot2, multcomp",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"mime","mime","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.7",NA,NA,"tools",NA,NA,NA,"GPL",NA,NA,NA,NA,"yes","3.5.3"
"miniUI","miniUI","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.1.1",NA,NA,"shiny (>= 0.13), htmltools (>= 0.3), utils",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"minqa","minqa","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2.4",NA,NA,"Rcpp (>= 0.9.10)","Rcpp",NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"mitml","mitml","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3-7",NA,NA,"pan, jomo, haven, grDevices, graphics, stats, utils",NA,"mice, miceadds, Amelia, lme4, nlme, geepack, survival, knitr,
rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"mix","mix","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0-10",NA,"stats",NA,NA,NA,NA,"Unlimited",NA,NA,NA,NA,"yes","3.5.2"
"mixtools","mixtools","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1.0",NA,"R (>= 3.2.0)","MASS, segmented, stats, survival",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"mlbench","mlbench","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.1-1",NA,"R (>= 2.10)",NA,NA,"lattice",NA,"GPL-2",NA,NA,NA,NA,NA,"3.5.3"
"MLmetrics","MLmetrics","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1.1",NA,"R (>= 2.10)","stats, utils, ROCR",NA,"e1071",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"mnormt","mnormt","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.5-5",NA,"R (>= 2.2.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.2"
"ModelMetrics","ModelMetrics","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2.2",NA,"R (>= 3.2.2)","Rcpp, data.table","Rcpp","testthat",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"modelr","modelr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.4",NA,"R (>= 3.1)","broom, dplyr, magrittr, purrr (>= 0.2.2), rlang (>= 0.2.0),
tibble, tidyr (>= 0.8.0)",NA,"compiler, covr, ggplot2, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"modeltools","modeltools","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2-22",NA,"stats, stats4","methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.2"
"modes","modes","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.7.0",NA,"R (>= 3.2.2)",NA,NA,NA,NA,"CC BY-NC-SA 4.0",NA,NA,NA,NA,"no","3.5.2"
"multcomp","multcomp","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4-10",NA,"stats, graphics, mvtnorm (>= 1.0-10), survival (>= 2.39-4),
TH.data (>= 1.0-2)","sandwich (>= 2.3-0), codetools",NA,"lme4 (>= 0.999375-16), nlme, robustbase, coin, MASS, foreign,
xtable, lmtest, coxme (>= 2.2-1), SimComp, ISwR, tram (>=
0.2-5)",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"munsell","munsell","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.5.0",NA,NA,"colorspace, methods",NA,"ggplot2, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"mvtnorm","mvtnorm","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0-11",NA,"R(>= 3.5.0)","stats, methods",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"naniar","naniar","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4.2",NA,"R (>= 3.1.2)","dplyr, ggplot2, purrr, tidyr, tibble, magrittr, stats, visdat,
rlang, forcats, viridis, glue, UpSetR",NA,"knitr, rmarkdown, testthat, rpart, rpart.plot, covr,
gridExtra, wakefield, vdiffr, here, simputation, imputeTS,
gdtools, Hmisc, spelling",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"nanotime","nanotime","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.4",NA,NA,"methods, bit64, RcppCCTZ (>= 0.2.3), zoo",NA,"RUnit, data.table, xts",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"NbClust","NbClust","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3.0",NA,"R (>= 3.1.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.2"
"ncdf4","ncdf4","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.16.1",NA,NA,NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.5.3"
"Newdistns","Newdistns","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.1",NA,"AdequacyModel",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.2"
"newsmd","newsmd","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.0",NA,"R (>= 3.3.3)","R6",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"nlme","nlme","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3.1-137","recommended","R (>= 3.4.0)","graphics, stats, utils, lattice",NA,"Hmisc, MASS",NA,"GPL (>= 2) | file LICENCE",NA,NA,NA,NA,"yes","3.5.3"
"nloptr","nloptr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2.1",NA,NA,NA,NA,"testthat (>= 0.8.1), knitr, rmarkdown, inline (>= 0.3.14)",NA,"LGPL-3",NA,NA,NA,NA,"yes","3.5.3"
"npsurv","npsurv","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.4-0",NA,"lsei","methods",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.2"
"numDeriv","numDeriv","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2016.8-1.1",NA,"R (>= 2.11.1)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"nycflights13","nycflights13","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.0",NA,"R (>= 2.10)","tibble",NA,"dplyr",NA,"CC0",NA,NA,NA,NA,"no","3.5.3"
"odbc","odbc","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1.6",NA,"R (>= 3.2.0)","DBI (>= 1.0.0), methods, Rcpp (>= 0.12.11), blob (>= 1.1.0),
bit64, hms","Rcpp, BH","tibble, DBItest, testthat, covr, magrittr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"openssl","openssl","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4.1",NA,NA,"askpass",NA,"testthat, digest, knitr, rmarkdown, jsonlite, jose, sodium",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"ordinal","ordinal","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2019.4-25",NA,"R (>= 2.13.0), stats, methods","ucminf, MASS, Matrix, numDeriv",NA,"lme4, nnet, xtable, testthat (>= 0.8), tools",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"osmdata","osmdata","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.1",NA,"R (>= 3.2.4)","curl, httr, lubridate, magrittr, methods, Rcpp (>= 0.12.4),
rvest, jsonlite, sp, tibble, utils, xml2","Rcpp","devtools, knitr, pkgdown, raster, rmarkdown, roxygen2, sf,
testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"packcircles","packcircles","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3.3",NA,"R (>= 3.2)","Rcpp (>= 0.12.18)","Rcpp (>= 0.12.10)","ggiraph, ggplot2, knitr, rmarkdown, lpSolve",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"packrat","packrat","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.5.0",NA,"R (>= 3.0.0)","tools, utils",NA,"testthat (>= 0.7), devtools, httr, knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"pamr","pamr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.56.1",NA,"R (>= 2.10), cluster, survival",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"pan","pan","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.6",NA,NA,NA,NA,"mitools, lme4",NA,"GPL-3",NA,"no",NA,NA,"yes","3.5.3"
"parsedate","parsedate","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2.0",NA,NA,"rematch2",NA,"covr, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"party","party","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.3-3",NA,"R (>= 3.0.0), methods, grid, stats, mvtnorm (>= 1.0-2),
modeltools (>= 0.2-21), strucchange","survival (>= 2.37-7), coin (>= 1.1-0), zoo, sandwich (>=
1.1-1)","mvtnorm","TH.data (>= 1.0-3), mlbench, colorspace, MASS, vcd, ipred,
varImp",NA,"GPL-2",NA,NA,NA,NA,"yes","3.5.3"
"partykit","partykit","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2-5",NA,"R (>= 3.1.0), graphics, grid, libcoin (>= 1.0-0), mvtnorm","grDevices, stats, utils, survival, Formula (>= 1.2-1), inum
(>= 1.0-0), rpart (>= 4.1-11)",NA,"XML, pmml, rJava, sandwich, strucchange, vcd, AER, mlbench,
TH.data (>= 1.0-3), coin (>= 1.1-0), RWeka (>= 0.4-19),
datasets, parallel, psychotools (>= 0.3-0), psychotree, party
(>= 1.3-0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"pcaPP","pcaPP","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.9-73",NA,NA,"mvtnorm",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.5.2"
"pdftools","pdftools","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.2",NA,NA,"Rcpp (>= 0.12.12), qpdf","Rcpp","jpeg, png, webp, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"PerformanceAnalytics","PerformanceAnalytics","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.5.3",NA,"R (>= 3.0.0), xts (>= 0.10.0)","methods, quadprog, zoo",NA,"dygraphs, Hmisc, MASS, quantmod, gamlss, gamlss.dist,
robustbase, quantreg, gplots, testthat",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"permute","permute","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.9-5",NA,"R (>= 2.14.0)","stats",NA,"vegan (>= 2.0-0), testthat (>= 0.5), parallel",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"pillar","pillar","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4.2",NA,NA,"cli, crayon (>= 1.3.4), fansi, rlang (>= 0.3.0), utf8 (>=
1.1.0), vctrs",NA,"knitr, lubridate, testthat, withr",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"pinp","pinp","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.0.7",NA,NA,"rmarkdown, knitr",NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"pkgbuild","pkgbuild","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.3",NA,"R (>= 3.1)","callr (>= 2.0.0), cli, crayon, desc, prettyunits, R6,
rprojroot, withr (>= 2.1.2)",NA,"Rcpp, testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"pkgconfig","pkgconfig","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.0.2",NA,NA,"utils",NA,"covr, testthat, disposables (>= 1.0.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"pkgKitten","pkgKitten","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.4",NA,NA,NA,NA,"whoami (>= 1.1.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"pkgload","pkgload","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.2",NA,NA,"desc, methods, pkgbuild, rlang, rprojroot, rstudioapi, utils,
withr",NA,"bitops, covr, Rcpp, testthat",NA,"GPL-3",NA,NA,NA,NA,"yes","3.5.3"
"plogr","plogr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.2.0",NA,NA,NA,NA,"Rcpp",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"plotly","plotly","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","4.9.0",NA,"R (>= 3.2.0), ggplot2 (>= 3.0.0)","tools, scales, httr, jsonlite (>= 1.6), magrittr, digest,
viridisLite, base64enc, htmltools (>= 0.3.6), htmlwidgets (>=
1.3), tidyr, hexbin, RColorBrewer, dplyr, tibble, lazyeval (>=
0.2.0), rlang, crosstalk, purrr, data.table, promises",NA,"MASS, maps, ggthemes, GGally, testthat, knitr, devtools,
shiny (>= 1.1.0), shinytest (>= 1.3.0), curl, rmarkdown,
vdiffr, Cairo, broom, webshot, listviewer, dendextend, sf,
maptools, rgeos, png, IRdisplay, processx, plotlyGeoAssets,
forcats",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"plotmo","plotmo","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3.5.5",NA,"R (>= 3.4.0), Formula (>= 1.2-3), plotrix, TeachingDemos",NA,NA,"C50 (>= 0.1.0-24), earth (>= 5.1.0), gbm (>= 2.1.1), glmnet
(>= 2.0.5), glmnetUtils (>= 1.0.3), MASS (>= 7.3-45), mlr (>=
2.12.1), neuralnet (>= 1.33), partykit (>= 1.2-2), pre (>=
0.5.0), rpart (>= 4.1-10), rpart.plot (>= 2.1.0)",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"plotrix","plotrix","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3.7-6",NA,"R (>= 3.5.0)","grDevices, graphics, stats, utils",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"pls","pls","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2.7-1",NA,"R (>= 2.10)","grDevices, graphics, methods, stats",NA,"MASS, parallel, Rmpi, testthat, RUnit",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"plyr","plyr","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.8.4",NA,"R (>= 3.1.0)","Rcpp (>= 0.11.0)","Rcpp","abind, testthat, tcltk, foreach, doParallel, itertools,
iterators, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"png","png","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1-7",NA,"R (>= 2.9.0)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","3.5.2"
"polspline","polspline","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.1.15",NA,NA,"stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"polyclip","polyclip","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.10-0",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"BSL",NA,NA,NA,NA,"yes","3.5.3"
"polynom","polynom","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.4-0",NA,NA,"stats, graphics",NA,"knitr, rmarkdown",NA,"GPL-2",NA,NA,NA,NA,"no","3.5.3"
"pool","pool","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.1.4.2",NA,"R (>= 3.0.0), methods","DBI, R6, dplyr, dbplyr, later",NA,"testthat, tibble, RSQLite, RMySQL",NA,"GPL-3",NA,NA,NA,NA,"no","3.5.3"
"praise","praise","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.0",NA,NA,NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"prettydoc","prettydoc","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.3.0",NA,NA,"rmarkdown (>= 1.0)",NA,"knitr, KernSmooth",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","3.5.3"
"prettyunits","prettyunits","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.0.2",NA,NA,"magrittr, assertthat, methods",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
"pROC","pROC","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.15.0",NA,"R (>= 2.14)","methods, plyr, Rcpp (>= 0.11.1)","Rcpp","microbenchmark, tcltk, MASS, logcondens, doParallel,
testthat, vdiffr, ggplot2",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","3.5.3"
"processx","processx","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","3.4.1",NA,NA,"ps (>= 1.2.0), R6, utils",NA,"callr (>= 3.2.0), codetools, covr, crayon, curl, debugme,
parallel, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","3.5.3"
"prodlim","prodlim","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","2018.04.18",NA,"R (>= 2.9.0)","Rcpp (>= 0.11.5), stats, graphics, survival, KernSmooth, lava","Rcpp",NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","3.5.3"
"profileModel","profileModel","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","0.6.0",NA,"R (>= 2.6.0)",NA,NA,"MASS, gnm",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","3.5.3"
"progress","progress","C:/Users/cody8/OneDrive/Documentos/R/win-library/3.5","1.2.2",NA,NA,"hms, prettyunits, R6, crayon",NA,"Rcpp, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","3.5.3"
